team1,score1,score2,team2,players,date
Anla'Shok,198,23,MAQUIS,15,2022/07/02
Nearland Ind,205,45,Lights Off,15,2022/07/02
Space Donuts,70,36,Polish Pirates,10,2022/07/02
$TAR$,128,35,The X-Files,10,2022/07/02
Team Elite,71,99,Tacitus,10,2022/07/01
Grunthal Gang,404,1,First Squad,15,2022/07/01
Dumpster Fire,33,5,(_(_Vossk_)_),15,2022/07/01
Metal Nova,58,41,Federation,10,2022/06/30
Anla'Shok,91,37,Spacefleet,15,2022/06/27
Blood Brigade,16,44,Aggronauten,10,2022/06/27
DTC,202,26,Death Flight,15,2022/06/26
Lexx,26,8,Killer Shadow,5,2022/06/26
Lexx,13,2,RATAS,10,2022/06/26
Dumpster Fire,28,5,PACCBET,15,2022/06/26
Imperium XIII,68,3,The Asylum,5,2022/06/26
Team Elite,26,0,Elite,5,2022/06/25
$TAR$,65,42,Dropbears Inc,10,2022/06/25
Red Dawn,74,0,Sprite,10,2022/06/22
Ark Summit,237,25,Pandora's Star,15,2022/06/22
Embers Rising,160,22,LOST PIRATES,15,2022/06/22
Anla'Shok,41,134,Yishun CC,15,2022/06/22
Spacefleet,131,1,Lacuna Ind.,15,2022/06/21
OntarioDynasty,55,3,JTPS,5,2022/06/20
Lexx,20,39,Corporation,10,2022/06/20
Dumpster Fire,24,22,BRASIL STAR,15,2022/06/20
Team Elite,69,60,KARI,10,2022/06/20
DTC,53,1,United Stars,5,2022/06/19
DTC,58,146,第一序列,15,2022/06/19
Imperium XIII,127,0,Nooooobs,5,2022/06/19
Terranova,192,37,Black Sun,10,2022/06/19
Unimatrix Zero,181,130,Watchers,15,2022/06/18
StarControl,197,48,POCCNR,10,2022/06/18
Star Fall,102,33,DUNE,5,2022/06/18
Blood Brigade,150,79,Galactic Empire,15,2022/06/18
$TAR$,32,138,Stellaris,10,2022/06/18
Grunthal Gang,201,85,the heavy,10,2022/06/17
Bastion,36,6,Starsailors,5,2022/06/17
Anla'Shok,104,8,VoidCorp,15,2022/06/17
Bounty Hunters,6,44,Covenant,15,2022/06/16
Embers Rising,114,3,Crazy Monkeys,15,2022/06/16
Dumpster Fire,2,54,ANBEPCAHTbl,15,2022/06/15
Dumpster Fire,6,40,UnionofSpace,10,2022/06/15
Red Dawn,29,4,Stella Glow,5,2022/06/14
Lexx,45,3,Sprite,10,2022/06/14
Team Elite,119,22,Ahamkara,10,2022/06/14
DadCorp,172,102,BlackStar Order,15,2022/06/13
Deadspace,88,6,GermanSpaceUno.,5,2022/06/12
DTC,230,15,혁명군,15,2022/06/12
Ykp ihtpobeptn,9,24,Star Fall,5,2022/06/12
Weyland Corp,170,2,Aepxaba Pycb,10,2022/06/12
Imperium XIII,28,50,The Time Lords,5,2022/06/12
Nearland Ind,196,127,IX Nernoh,15,2022/06/12
Blood Brigade,11,103,Tartaros Armada,10,2022/06/12
$TAR$,57,50,Les Chevaliers,10,2022/06/11
Anla'Shok,64,18,Serenity,15,2022/06/11
StarControl,131,95,Karanth,10,2022/06/11
Grunthal Gang,38,15,pycb,10,2022/06/10
Embers Rising,110,15,LOST PIRATES,15,2022/06/09
Ark Summit,276,53,MAPCIOKN,15,2022/06/09
Dumpster Fire,3,31,★后?明?星?,15,2022/06/09
Bounty Hunters,12,105,Axiom,10,2022/06/09
Lexx,24,2,Turk Yildizlari,10,2022/06/09
Deadspace,29,8,Knights Ronin,5,2022/06/07
Team Elite,44,36,GermanIndustrie,5,2022/06/07
Star Fall,74,47,DadCorp,5,2022/06/07
Red Dawn,68,31,Les Tilotest,5,2022/06/07
Lexx,43,51,alienigenas,10,2022/06/07
Anla'Shok,166,20,Internationals,15,2022/06/06
OntarioDynasty,24,43,Black Solaris,5,2022/06/05
Nearland Ind,38,78,Aobpothbie Nioan,15,2022/06/05
Blood Brigade,190,0,WFOS,15,2022/06/05
$TAR$,22,91,星呢月球,15,2022/06/04
Embers Rising,129,3,TITANS,10,2022/06/04
Orion,21,15,Sol,5,2022/06/04
pirates spatial,200,36,C'est pas faux!,10,2022/06/04
StarControl,154,42,Elite,10,2022/06/04
Grunthal Gang,114,51,Polish Pirates,10,2022/06/04
DTC,88,146,pycb,15,2022/06/03
Kharon Shipping,117,26,RUS,10,2022/06/03
Space Donuts,189,19,The X-Files,10,2022/06/03
the heavy,156,132,Auscorp,15,2022/06/03
Black Mirror Co,24,16,Glashan,10,2022/06/03
HORNET,149,81,Society of Sin,15,2022/06/03
Void Consortium,154,75,Ender,15,2022/06/03
Weyland Corp,80,14,Hamburg AG 2,10,2022/06/03
Team Elite,66,34,Minutemen,5,2022/06/02
Anla'Shok,86,65,Stargate Corp,15,2022/06/01
Bounty Hunters,199,17,世外桃源,15,2022/06/01
Dark Skai,186,11,혁명군,15,2022/06/01
Embers Rising,33,90,A Team,10,2022/06/01
Team Elite,64,26,Gulinga,5,2022/06/01
Deadspace,4,18,CTG,5,2022/06/01
Sith Empire,203,36,Españoles,15,2022/05/31
Red Dawn,90,4,Space Pirate,5,2022/05/31
Embers Rising,137,17,Rogue Corp,10,2022/05/30
GermanIndustrie,31,69,Hinterm Mond,5,2022/05/30
Lexx,78,0,CbrtbleHeroAhnkn,10,2022/05/29
pirates spatial,166,8,Starsailors,15,2022/05/29
Space Donuts,24,37,Elite,10,2022/05/29
Star Dust,34,31,Imperium XIII,5,2022/05/29
StarControl,118,33,Black Sun,10,2022/05/29
Blood Brigade,103,23,Rising star,15,2022/05/29
Auscorp,366,80,Trade Station,15,2022/05/28
Imperium XIII,118,75,the heavy,5,2022/05/28
Kharon Shipping,169,38,Terranova,10,2022/05/28
Nearland Ind,224,106,$TAR$,15,2022/05/28
OntarioDynasty,83,52,Tacitus,10,2022/05/28
Orion,89,24,Diplomats Union,5,2022/05/28
StarControl,227,33,The Time Lords,10,2022/05/28
Void Consortium,128,40,Prophecy,15,2022/05/28
Anla'Shok,233,20,Lacuna Ind.,15,2022/05/26
Black Mirror Co,8,52,ANBEPCAHTbl,10,2022/05/26
DTC,228,43,Battlestar FR,15,2022/05/26
Team Elite,58,43,KARI,10,2022/05/26
Red Dawn,74,0,E.T.A,5,2022/05/26
Bounty Hunters,194,74,Covenant,15,2022/05/25
Embers Rising,42,20,Newbs,10,2022/05/25
Stellar Exports,101,1,Madison Holding,15,2022/05/25
Ark Summit,84,29,First Squad,15,2022/05/24
Dumpster Fire,37,39,群星联合会,15,2022/05/24
Lexx,31,4,Sprite,10,2022/05/24
HORNET,207,259,Continuum,15,2022/05/24
Metal Nova,5,0,Lights Off,10,2022/05/23
Rocket-by Baby,114,64,Sith Empire,15,2022/05/23
Space Donuts,101,11,Rocket-Babies,10,2022/05/22
Blood Brigade,94,17,Space Marine,15,2022/05/22
DTC,129,44,Black Sun,15,2022/05/21
Hinterm Mond,93,47,Spacecrevards,10,2022/05/21
Nearland Ind,260,26,TPYNRNR,15,2022/05/21
Orion,114,27,FreeSpcAlliance,10,2022/05/21
pirates spatial,128,22,Cnythnk,15,2022/05/21
Team Elite,66,32,USSR,10,2022/05/21
Ykp ihtpobeptn,10,18,DTC,5,2022/05/21
Star Fall,148,28,Furyan Corps.,5,2022/05/21
$TAR$,77,63,USA,15,2022/05/20
Anla'Shok,96,18,Austria,15,2022/05/20
battlesquadron,63,58,LOST PIRATES,15,2022/05/20
Black Mirror Co,93,91,YAL,10,2022/05/20
Bounty Hunters,219,27,Star Jumpers,15,2022/05/20
Karanth,190,36,Furyan Corps.,5,2022/05/20
Legion,23,62,Star Fall,5,2022/05/20
RSI,43,0,Imperium XIII,5,2022/05/20
Embers Rising,163,58,Wispered Storm,15,2022/05/18
Spacefleet,111,11,Death Flight,10,2022/05/18
HORNET,65,21,海賊ギルド,10,2022/05/18
Dark Skai,114,0,Foreshadowing,10,2022/05/17
Dumpster Fire,78,2,世外桃源,15,2022/05/17
Lexx,8,7,Industrial W.O,10,2022/05/17
Anla'Shok,105,48,Trade Station,15,2022/05/16
Metal Nova,28,46,Star Destroyers,10,2022/05/16
Spacecrevards,142,11,The Asylum,5,2022/05/16
$TAR$,179,0,Special Force,15,2022/05/15
Auscorp,469,0,龙冂训练营,10,2022/05/15
Dark Skai,144,0,Star Jumpers,15,2022/05/15
Sith Empire,104,15,TPYNRNR,15,2022/05/15
Spacefleet,64,222,Continuum,15,2022/05/15
Team Elite,61,15,Octoberpierynm,10,2022/05/15
Blood Brigade,192,24,WFOS,15,2022/05/15
Black Solaris,53,162,Hinterm Mond,5,2022/05/14
DTC,185,2,Star Jumpers,15,2022/05/14
Kharon Shipping,300,33,Bastion,10,2022/05/14
Lexx,3,0,lucky cats,5,2022/05/14
Nearland Ind,105,81,Austria,15,2022/05/14
Parhapek,15,2,DTC,5,2022/05/14
pirates spatial,25,64,Rising star,15,2022/05/14
StarControl,118,77,Bastion,10,2022/05/14
StarControl,137,78,Final,10,2022/05/14
Void Consortium,266,125,Space Marine,15,2022/05/14
Black Mirror Co,12,114,Draconis,15,2022/05/13
Bounty Hunters,161,109,NERF TOY'S,15,2022/05/13
Lexx,6,49,ANBEPCAHTbl,10,2022/05/13
OntarioDynasty,115,73,Watchers,10,2022/05/13
Dumpster Fire,16,14,casual,15,2022/05/12
Embers Rising,45,39,Imperial Armada,15,2022/05/12
Ender,46,24,The Time Lords,10,2022/05/12
Anla'Shok,179,10,Wacky Wabbits,15,2022/05/11
Dark Skai,17,49,United Galaxies,15,2022/05/11
Team Elite,37,1,PocKocMoc,5,2022/05/10
Metal Nova,48,17,FAIR,10,2022/05/09
Sith Empire,49,113,Covenant,15,2022/05/09
Team Elite,50,16,Void Dominion,5,2022/05/09
Blood Brigade,161,49,Dragon Army,10,2022/05/09
Hinterm Mond,166,23,USSR,5,2022/05/08
HORNET,292,334,Greener Pastures,15,2022/05/08
$TAR$,143,57,Starsailors,15,2022/05/07
Kharon Shipping,202,94,Tacitus,10,2022/05/07
Nearland Ind,219,103,debutant fr,15,2022/05/07
Orion,35,109,Imperium XIII,5,2022/05/07
pirates spatial,12,56,星呢月球,15,2022/05/07
Space Donuts,93,35,The X-Files,10,2022/05/07
Red Dawn,32,6,Variants,5,2022/05/07
StarControl,227,35,BlackStar Order,15,2022/05/06
Dumpster Fire,28,50,kdy,15,2022/05/06
exirium,23,7,DTC,5,2022/05/06
DTC,156,3,ITA,15,2022/05/06
Lexx,3,0,casual,5,2022/05/06
Lexx,42,11,深空补给港,10,2022/05/06
Bastion,82,84,Tacitus,10,2022/05/06
Black Mirror Co,37,99,Anomaly,10,2022/05/06
the heavy,61,67,EMP,10,2022/05/06
Void Consortium,21,5,ROGUE ONE,10,2022/05/06
Black Mirror Co,37,99,Anomaly,10,2022/05/06
Red Dawn,29,0,Star Fall,5,2022/05/06
