rank,corporation,rating,delta
~  ,Farmville       ,925,0
~  ,Star Wars       ,924,0
~  ,Core Infliction ,923,0
~  ,AlfaOmega       ,923,0
~  ,Galactic Force  ,923,0
~  ,Kpanhnn Kocmoc  ,923,0
~  ,帝国军事学院          ,923,0
~  ,Fomorians Eire  ,922,0
~  ,kdy             ,922,0
~  ,EZCO            ,922,0
~  ,VALLKIRIA       ,920,0
~  ,Ritter der Nuss ,920,0
~  ,VoidCorp        ,920,-4
~  ,DarkMoon        ,919,0
~  ,Steak n' Shake  ,918,0
 73,海賊ギルド           ,918,-12
~  ,Ironbear Legion ,918,0
~  ,STAR TERROR CZ  ,917,0
~  ,Corp. Estelar   ,917,0
 74,Rising star     ,916,-30
~  ,T E H b         ,916,0
~  ,DegobaSystem    ,916,0
~  ,Gwiezdna Horda  ,916,0
~  ,Kobol           ,915,0
~  ,Hamburg AG 2    ,915,-12
~  ,KLM             ,914,0
~  ,Sky Walkers     ,914,0
~  ,Justice League  ,914,0
~  ,EGO             ,914,0
~  ,Defiant wolfs   ,913,0
~  ,Nmnepnr         ,913,0
 75,ENFORCERS       ,913,0
~  ,Pandora's Star  ,913,-7
~  ,Deutsch Staat D ,913,0
~  ,Nooooobs        ,912,-3
~  ,Anke none       ,912,0
~  ,ShalaskanEmpire ,911,0
~  ,Italian Stars   ,911,0
~  ,NoweUkladyll    ,911,0
~  ,Stalkers' Zone  ,911,0
 76,Polish Pirates  ,911,-11
 77,G.M.U.          ,911,0
~  ,Star Dust       ,910,0
~  ,GalaxHitchikers ,910,0
~  ,XenoCorp        ,909,0
~  ,Battle Academy  ,908,0
~  ,SYNDICATE       ,907,0
~  ,Diplomats Union ,907,0
~  ,The Fracture    ,905,0
~  ,Anarchy         ,904,0
~  ,exirium         ,903,0
~  ,The trade pub   ,903,0
~  ,Turk Yildizlari ,903,-9
~  ,White Solaris   ,903,0
~  ,Abanoh          ,902,0
~  ,BattleCo        ,901,0
~  ,Flight and War  ,900,0
~  ,Green Alliance  ,900,0
~  ,Legion Estelar  ,900,0
~  ,KOPNOPAUNR 3NA  ,900,0
~  ,Yellow Dwarf    ,900,0
~  ,星䂓地㺷            ,900,0
 78,WFOS            ,900,-73
~  ,Españoles 2     ,900,0
~  ,W.O.A           ,900,0
~  ,Squadron        ,899,0
 79,Das Imperium    ,899,0
~  ,Romania         ,899,0
~  ,LIETUVA         ,898,0
~  ,Regulus         ,898,0
~  ,NuevaFederacion ,898,0
~  ,Evil Empire     ,898,0
~  ,11th Engineers  ,898,0
~  ,Teeny's WS      ,897,0
~  ,AMG             ,897,0
~  ,Hellfire Club   ,897,0
~  ,Tnxnn Omyt      ,896,0
~  ,Guardia Oscura  ,896,0
~  ,Star Gate       ,896,0
~  ,bob             ,896,0
~  ,Simply Uranus   ,896,0
~  ,AltCorp Inc     ,895,0
~  ,Panola Corp.    ,895,0
~  ,77=49           ,895,0
~  ,Heyaepxnmble    ,895,0
~  ,aranas-vermelha ,895,0
~  ,Acгapд          ,895,0
~  ,RESISTENCIA     ,895,0
~  ,Foreshadowing   ,895,0
~  ,星舰地球            ,895,0
~  ,Created         ,895,0
~  ,Polaris Corp.   ,894,0
~  ,The Promenade   ,894,0
~  ,Aobpothbie Nioan,894,44
~  ,PHOENIX         ,894,0
 80,Black Mirror Co ,894,-3
~  ,The Herd        ,894,0
~  ,Brazilcorp.     ,893,0
~  ,M3K             ,893,0
~  ,BLOK EKIPA      ,893,0
~  ,Void Dominion   ,893,0
~  ,Russian Corp    ,893,0
~  ,GalaxyGuardians ,892,0
~  ,Draconis        ,892,0
~  ,Star War School ,892,0
~  ,Soul System     ,892,0
~  ,OPA             ,892,0
~  ,RedFoxCorp      ,892,0
~  ,space rats      ,892,0
~  ,Majapahit       ,892,0
~  ,Helion Prime    ,892,0
~  ,TITANS          ,891,0
~  ,Daemon Runners  ,891,0
~  ,Hun Avengers    ,891,0
~  ,Sol             ,891,0
~  ,SveaEmpire      ,891,-9
~  ,Speakeasy       ,891,0
~  ,The Guardians   ,890,0
~  ,Simply Chaos    ,890,0
~  ,UFP             ,890,0
~  ,Likapa          ,890,0
~  ,N7 Elite Forces ,890,0
~  ,42 Nova Corps.  ,890,0
~  ,COЮЗ Akanemnr   ,889,0
~  ,New Utopia      ,889,0
~  ,Zanganos        ,889,0
~  ,ALIANZA 4       ,888,0
~  ,The Claw        ,888,0
~  ,Dark Age        ,888,0
~  ,White Dwarf     ,888,0
~  ,Hermes          ,888,0
~  ,BR Gear         ,888,0
~  ,Hun Generals    ,887,0
~  ,R.S.F.          ,887,0
~  ,On en a Gros !  ,886,0
~  ,A Team          ,886,0
~  ,Dragon Eclipse  ,886,0
~  ,pycb            ,885,-10
~  ,Star Destroyers ,885,0
~  ,The Outfit      ,884,0
~  ,White Star Inc. ,884,0
 81,Anomaly         ,884,18
~  ,7SinS           ,884,0
~  ,Pulsar          ,884,0
~  ,Rusty legacy    ,884,0
~  ,We R Bad        ,884,0
~  ,Legionnaires    ,884,0
~  ,INFINITY STAR   ,884,0
~  ,仙女座星雲           ,884,0
~  ,Legion Imperial ,883,0
