rank,corporation,rating,delta
  1,Legion            ,1636,2
  2,StarControl       ,1594,-23
  3,Hinterm Mond      ,1584,-46
~  ,BlackStar Order   ,1505,-41
  4,Kharon Shipping   ,1496,-22
  5,Auscorp           ,1465,4
~  ,System Shock      ,1412,-34
  6,Karanth           ,1382,0
  7,DadCorp           ,1382,24
~  ,Unimatrix Zero    ,1332,-29
  8,Spacecrevards     ,1329,-29
~  ,DUNE              ,1286,-6
~  ,Yishun CC         ,1286,-26
  9,OntarioDynasty    ,1280,-14
~  ,RUS               ,1267,-25
 10,Ender             ,1267,17
 11,Ark Summit        ,1247,17
~  ,ГОРИЗОНТ          ,1220,-21
 12,Final             ,1219,-3
~  ,Hades Corpo       ,1217,-21
 13,Anla'Shok         ,1205,-77
 14,The Time Lords    ,1193,-20
 15,Nearland Ind      ,1193,10
~  ,InfamousExiles    ,1181,-19
 16,Team Elite        ,1177,-19
 17,Grunthal Gang     ,1176,97
 18,Embers Rising     ,1167,14
 19,Sith Empire       ,1160,48
 20,Imperium XIII     ,1157,-13
 21,Watchers          ,1130,-15
 22,HORNET            ,1130,-15
~  ,EradicatorElite   ,1130,-15
~  ,Black Solaris     ,1126,-15
 23,Spacefleet        ,1122,35
 24,Tacitus           ,1114,-14
 25,Dark Skai         ,1112,3
~  ,NERF              ,1109,-14
 26,Wintercomes       ,1097,7
~  ,Canadian Army     ,1097,-13
 27,DTC               ,1081,45
~  ,EMP               ,1077,-12
 28,Blood Brigade     ,1074,47
~  ,Greener Pastures  ,1069,-11
 29,Metal Nova        ,1066,13
~  ,Kyлak             ,1063,-11
 30,Lexx              ,1060,-26
 31,Star Fall         ,1057,-11
 32,Continuum         ,1047,16
 33,Weyland Corp      ,1046,-10
 34,Void Consortium   ,1041,-9
~  ,NOVA              ,1038,-9
~  ,BRhue             ,1038,-9
~  ,GermanIndustrie   ,1037,-9
 35,Terranova         ,1033,-21
 36,Orion             ,1031,-16
~  ,Wacky Wabbits     ,1027,0
~  ,H3LL FLAY3RS      ,1025,0
 37,Internationals    ,1025,-8
~  ,Order of Hades    ,1024,0
~  ,Rise Up           ,1023,0
~  ,Famous Assassins  ,1023,-8
 38,$TAR$             ,1019,-61
 39,Furyan Corps.     ,1017,0
 40,Bastion           ,1016,0
~  ,Salamanders       ,1014,0
 41,Tormenta          ,1014,16
 42,UKR Spase         ,1012,0
 43,Widow Makers      ,1012,21
 44,Polaris           ,1011,0
~  ,Stellar Exports   ,1007,0
~  ,Urban Legends     ,1006,0
~  ,Ancient Library   ,1004,0
~  ,42-Omatic Corp    ,1002,0
~  ,Star-Jump CORPS   ,1001,0
~  ,For Ever HWI      ,1001,0
~  ,Stargate Corp     ,1001,0
 45,Red Dawn          ,998,0
 46,Red Coat Mafia    ,997,-1
~  ,Because Why Not   ,995,0
~  ,USSC              ,995,0
~  ,Toxic             ,995,0
~  ,TiesaFoundation   ,995,0
~  ,Russian Team      ,994,0
~  ,nebulous          ,994,-11
~  ,Grummibarenbande  ,994,0
~  ,Les Francaises    ,993,0
~  ,DISS LIGA         ,993,0
~  ,kumzumir          ,992,0
 47,Elite             ,992,0
 48,Bounty Hunters    ,991,0
~  ,龙门星团              ,989,0
~  ,我有大氣球             ,989,0
 49,The Star League   ,988,59
~  ,Delta Strike      ,988,0
~  ,Prosperity        ,988,0
 50,Galactic Empire   ,987,120
~  ,E.T.A             ,985,0
~  ,Saltarrocas       ,983,0
 51,Black Sun         ,983,-21
~  ,Vendetta Squad    ,983,-7
~  ,TheSpacingGuild   ,982,0
~  ,Rogue Hero's      ,981,0
 52,POCCNR            ,981,-2
~  ,Omega Alpha       ,981,0
 53,USSR              ,977,0
~  ,UAGC              ,975,0
~  ,The Black Bulls   ,975,0
~  ,Avabel Online     ,974,0
~  ,Phoenix Rising    ,974,0
~  ,MAPCIOKN          ,974,0
~  ,Argentina 1.0     ,972,0
 54,ANBEPCAHTbl       ,972,0
~  ,battlesquadron    ,971,0
~  ,Sternenflotte     ,971,0
~  ,Space Penguins    ,970,0
~  ,M4-Legends        ,969,0
 55,Austria           ,969,0
~  ,Soylent Corp.     ,967,0
~  ,JTPS              ,966,0
 56,Obsidian          ,966,22
~  ,AMБPEЛЛA          ,966,0
~  ,Sternenwanderer   ,965,0
~  ,The First Order   ,965,0
~  ,Titan Corp.       ,963,-16
~  ,Society of Sin    ,961,0
~  ,The BR Project    ,961,0
 57,Dropbears Inc     ,960,-12
 58,kdy               ,958,36
~  ,Paиoн No 9        ,958,0
~  ,ZEN               ,958,0
 59,龙门训练营             ,957,-31
 60,Trade Station     ,956,0
~  ,Topговая Федерация,956,0
~  ,The Asylum        ,954,0
~  ,Avengers          ,954,0
~  ,Ahamkara          ,952,0
~  ,H香港K              ,950,0
~  ,Old Men Gaming    ,950,0
~  ,Балтийский флот   ,948,0
~  ,Trade Systems     ,948,0
