rank,corporation,rating,delta
  1,Legion            ,1661,17
  2,StarControl       ,1639,-7
  3,Hinterm Mond      ,1579,0
  4,Kharon Shipping   ,1440,1
  5,BlackStar Order   ,1431,-36
  6,Auscorp           ,1405,-46
  7,DadCorp           ,1362,-33
~  ,System Shock      ,1332,-30
~  ,Karanth Corp.     ,1330,-30
  8,OntarioDynasty    ,1298,1
~  ,DUNE              ,1275,8
  9,Ender             ,1275,7
~  ,RUS               ,1267,17
~  ,Unimatrix Zero    ,1265,-25
~  ,Spacecrevards     ,1262,-25
 10,Best              ,1261,66
~  ,Yishun CC         ,1253,5
 11,Grunthal Gang     ,1233,-1
 12,Ark Summit        ,1223,10
 13,Anla'Shok         ,1208,27
~  ,Final             ,1184,-20
~  ,ГОРИЗОНТ          ,1171,-19
~  ,Hades Corpo       ,1167,-18
 14,Imperium XIII     ,1156,13
~  ,The Time Lords    ,1147,-17
 15,Nearland Ind      ,1140,-17
~  ,InfamousExiles    ,1137,-16
 16,Team Elite        ,1130,-16
 17,Sith Empire       ,1118,-64
 18,Wintercomes       ,1115,9
~  ,Canadian Army     ,1112,25
~  ,Tacitus           ,1105,-18
~  ,Dark Skai         ,1098,-14
~  ,The Watchers      ,1096,-23
~  ,HORNET            ,1094,-13
 19,Terranova         ,1093,35
~  ,Black Solaris     ,1091,-13
~  ,EradicatorElite   ,1091,-13
 20,Alpaca Haven      ,1084,147
 21,Blood Brigade     ,1079,39
~  ,NERF              ,1077,-12
 22,Embers Rising     ,1070,-12
 23,Spacefleet        ,1066,-65
 24,Orion             ,1065,-16
~  ,Weyland Corp      ,1061,22
 25,Widow Makers      ,1060,53
~  ,ItBurnsWhenIEMP   ,1058,-11
 26,GermanIndustrie   ,1056,-11
~  ,Greener Pastures  ,1043,-10
 27,Wacky Wabbits     ,1041,-10
 28,Stargate Corp     ,1040,31
~  ,Kyлak             ,1037,-9
~  ,Star Fall         ,1033,-9
 29,Red Dawn          ,1024,1
~  ,NOVA              ,1023,-8
~  ,Void Consortium   ,1019,-8
~  ,Ancient Library   ,1017,17
~  ,BRhue             ,1016,-8
 30,Bounty Hunters    ,1014,-19
 31,Tormenta          ,1014,-8
~  ,Famous Assassins  ,1010,-8
~  ,Order of Hades    ,1005,-7
~  ,Rise Up           ,1004,-7
~  ,Furyan Corps.     ,1002,-7
~  ,Salamanders       ,1002,-7
 32,Continuum         ,1001,-7
 33,H3LL FLAY3RS      ,1000,-7
~  ,Prosperity        ,1000,-7
~  ,UKR Spase         ,1000,-7
~  ,Polaris           ,999,-7
~  ,Internationals    ,999,-7
~  ,Bastion           ,998,-7
~  ,Stellar Exports   ,996,-7
~  ,Urban Legends     ,994,-6
 34,Tartaros Armada   ,994,65
~  ,42-Omatic Corp    ,994,-6
