rank,corporation,rating,delta
~  ,Foreshadowing     ,894,0
~  ,Created           ,894,0
~  ,Polaris Corp.     ,894,0
~  ,The Promenade     ,894,0
~  ,DarkMoon          ,894,0
~  ,OntarioDomicile   ,894,0
~  ,Defiant wolfs     ,894,0
~  ,Nmnepnr           ,894,0
~  ,ENFORCERS         ,893,0
~  ,PHOENIX           ,893,0
~  ,Deutsch Staat D   ,893,0
~  ,Nooooobs          ,893,0
~  ,Anke none         ,893,0
~  ,The Herd          ,893,0
~  ,ShalaskanEmpire   ,893,0
~  ,Italian Stars     ,893,0
~  ,NoweUkladyll      ,893,0
~  ,Brazilcorp.       ,892,0
~  ,Core Infliction   ,892,0
~  ,T E H b           ,892,0
~  ,G.M.U.            ,892,0
~  ,XenoCorp          ,892,0
~  ,M3K               ,892,0
~  ,Russian Corp      ,892,0
~  ,Draconis          ,892,0
~  ,SYNDICATE         ,892,0
~  ,Green Alliance    ,891,0
~  ,Legion Estelar    ,891,0
~  ,Star War School   ,891,0
~  ,OPA               ,891,0
~  ,Soul System       ,891,0
~  ,RedFoxCorp        ,890,0
~  ,space rats        ,890,0
 85,ANZAC Warriors    ,889,41
~  ,Hun Avengers      ,889,0
~  ,Sol               ,889,0
~  ,Speakeasy         ,888,0
 86,Dreckiger Rest    ,888,-10
~  ,UFP               ,888,0
~  ,N7 Elite Forces   ,888,0
~  ,СОЮЗ Akanemnr     ,888,0
~  ,New Utopia        ,888,0
~  ,Zanganos          ,888,0
~  ,ALIANZA 4         ,888,0
~  ,The Claw          ,888,0
~  ,Dark Age          ,887,0
 87,Ironbear Legion   ,887,-15
 88,AMG               ,887,0
~  ,WFOS              ,887,0
~  ,White Dwarf       ,886,0
~  ,ТРУЛЯЛЯ           ,886,0
~  ,The Guardians     ,886,0
~  ,Hermes            ,886,0
~  ,R.S.F.            ,886,0
~  ,A Team            ,885,0
 89,Romania           ,885,-10
 90,Austria           ,885,-80
~  ,The Outfit        ,884,0
~  ,7SinS             ,884,0
~  ,Pulsar            ,884,0
~  ,Legionnaires      ,884,0
~  ,Legion Imperial   ,884,0
~  ,Durham Dragons    ,883,0
~  ,Sektion 31        ,883,0
~  ,Rabid Butterfly   ,883,0
~  ,Silver Guard      ,883,0
 91,Lights Off        ,883,0
 92,GalaxyGuardians   ,883,-9
~  ,Dragon Eclipse    ,883,0
~  ,Españoles         ,883,0
~  ,Любители Пива     ,882,0
~  ,Daemon Runners    ,882,0
~  ,Corvus Ind.       ,882,0
 93,Serenity          ,882,0
~  ,星䂓地㺷              ,882,0
 94,BLOK EKIPA        ,881,0
~  ,Regulus           ,881,0
~  ,BR Gear           ,881,0
 95,BattleCo          ,881,-2
~  ,FreeSpcAlliance   ,880,0
~  ,RussianRangers    ,880,0
~  ,401(K)            ,880,0
~  ,群星联合会             ,880,0
~  ,JerK              ,880,0
~  ,Void Dominion     ,880,0
~  ,Alpha Tauri       ,880,0
~  ,Bo3poxaehne       ,879,0
 96,Rocket-by Baby    ,879,0
~  ,United Stars      ,879,0
~  ,Crazy Monkeys     ,878,0
~  ,Das Imperium      ,878,0
~  ,Omega Nation      ,878,0
 97,Ahamkara          ,877,-12
~  ,RSR Bravo         ,877,0
~  ,alienigenas       ,876,0
~  ,Kpanhnn Kocmoc    ,876,0
 98,Rising star       ,875,-21
~  ,Axiom             ,875,0
~  ,Les Chevaliers    ,875,0
~  ,中国家民              ,875,0
~  ,White Star Inc.   ,875,0
~  ,I.N.D.I.G.O       ,874,0
~  ,OKC Thunder       ,874,0
~  ,★后?明?星?           ,874,0
~  ,RSI               ,874,0
~  ,Justice League    ,874,0
~  ,Crux Cadre        ,873,0
~  ,太空的猫              ,872,0
~  ,Nюбители пива     ,872,0
~  ,42 Nova Corps.    ,872,0
 99,The trade pub     ,872,-7
~  ,Industrial W.O    ,871,0
~  ,Parhapek          ,871,0
100,Corp Du Jour      ,870,0
~  ,Little RasCats    ,870,0
101,Society of Sin    ,870,-30
~  ,PocKocMoc         ,870,0
~  ,Federation        ,870,0
~  ,PODER ETERNO      ,870,0
~  ,Discordia         ,870,0
~  ,Anomaly           ,869,0
~  ,Big Hammer        ,869,0
102,Lost Legion       ,869,-14
~  ,Winged Phoenix    ,868,0
~  ,NERF TOY'S        ,868,0
~  ,Rusty legacy      ,867,0
103,SveaEmpire        ,867,0
~  ,Dragon Army       ,866,0
~  ,Special Force     ,866,0
104,Hun Generals      ,866,-16
~  ,UnionofSpace      ,866,0
105,VoidCorp          ,865,-21
106,Guardia Oscura    ,864,0
~  ,Prophecy          ,864,0
~  ,Alpha Nation      ,864,0
107,Cnythnk           ,863,-6
108,Rocinante         ,863,0
~  ,Diplomats Union   ,863,0
~  ,The X - Files     ,863,0
~  ,The Force         ,862,0
109,Lexx              ,862,-8
110,Aobpothbie Nioan  ,862,0
~  ,Peaky Blinders    ,861,0
~  ,OntarioDistrict   ,861,0
~  ,On en a Gros !    ,861,0
111,SNSS              ,861,0
~  ,SALTARDIS         ,860,0
~  ,UNSC              ,860,0
~  ,Abh               ,860,0
~  ,CommCody & LPA    ,860,0
~  ,West Worlders     ,860,0
~  ,Knights Ronin     ,860,0
~  ,Highland Ind.     ,859,0
~  ,2nd Squad         ,859,0
~  ,Seila             ,859,0
~  ,深空补给港             ,859,0
~  ,Space Pirates     ,858,0
~  ,CTG               ,858,0
112,蓝色星系              ,857,-8
113,Star Fox          ,857,0
~  ,lucky cats        ,856,0
114,Curcubeu          ,856,-6
~  ,USA               ,856,0
~  ,FAIR              ,855,0
~  ,Sprite            ,854,0
~  ,Orion's Blade     ,854,0
~  ,Tycho Corp        ,854,0
~  ,星舰太空港             ,853,0
~  ,Minutemen         ,853,0
115,Deadspace         ,853,-19
~  ,Star Destroyers   ,853,0
~  ,Newbs             ,852,0
~  ,PACCBET           ,852,0
~  ,Space Balls       ,852,0
~  ,debutant fr       ,851,0
~  ,Ykp ihtpobeptn    ,851,0
~  ,Nebula            ,850,0
116,Farming Inc.      ,850,0
~  ,Wispered Storm    ,850,0
~  ,Starsailors       ,848,0
~  ,YAL               ,848,0
~  ,Hawa Bcenehhar    ,848,0
~  ,Aeternae          ,848,0
~  ,Glashan           ,848,0
~  ,世外桃源              ,847,0
~  ,C'est pas faux!   ,847,0
~  ,CCCP 2.0          ,846,0
117,We R Bad          ,846,-5
118,NLB               ,845,7
~  ,지고 받자             ,845,0
~  ,Les Tilotest      ,845,0
~  ,BRASIL STAR       ,845,0
~  ,СОЮЗ              ,844,0
~  ,Swiss Chillers    ,844,0
119,No Orbit          ,844,22
120,ROGUE ONE         ,843,0
~  ,RATAS             ,843,0
121,la 315eme         ,843,-2
~  ,ITA               ,843,0
~  ,brit boys         ,842,0
~  ,TGY Inc.          ,842,0
~  ,华夏星海              ,842,0
~  ,Star Jumpers      ,841,0
122,혁명군               ,841,-16
~  ,無盡 宿命             ,841,0
~  ,地球朕合              ,841,0
~  ,听风秋月              ,840,0
~  ,Stellaris         ,840,0
~  ,Shadow Lords      ,840,0
~  ,銀河戦狼              ,840,0
~  ,Spectre           ,840,0
~  ,The Gathering     ,840,0
~  ,Three Rivers      ,840,0
~  ,Avabel Online 2   ,840,0
~  ,THE FOUNDATION    ,840,0
~  ,Yephoe conhue     ,840,0
~  ,Jaggernaut        ,839,0
~  ,水星联合织             ,839,0
~  ,YETI Collective   ,839,0
123,Stella Glow       ,838,0
124,Corp. Estelar 2   ,837,-3
125,Helion Prime      ,836,0
~  ,Rushar            ,836,0
~  ,"Project ""Gamma""   ",835,0
126,Hydra             ,835,-1
~  ,INFINITY STAR     ,834,0
~  ,djjdj             ,832,0
127,Ewe oanh Mno      ,832,0
128,Lacuna Holdings   ,832,-8
~  ,Sons of Liberty   ,832,0
~  ,Rocket-Babies     ,831,0
129,italian warrior   ,831,5
130,Variants          ,831,0
~  ,Space Anomalies   ,830,0
131,CCCP              ,830,0
~  ,Gallaecia         ,830,0
132,Dacia             ,830,36
133,Dumpster Fire     ,829,0
134,First Squad       ,829,0
135,星舰地球              ,829,-21
136,Free Thinkers 2   ,829,-14
~  ,Templarios Aiur   ,828,0
~  ,The Seperatists   ,828,0
137,仙女座星雲             ,827,0
138,Lacuna Ind.       ,827,-2
~  ,CbrtbleHeroAhnkn  ,826,0
139,Providence        ,826,0
140,Path of Hades     ,825,-3
141,Peak Extraction   ,824,0
~  ,Astra Ultima      ,824,0
~  ,GalacticTraders   ,824,0
~  ,Oмикрон Альфа     ,823, -
142,꿀벌 왕국             ,823,-17
~  ,コーポレーション          ,823, -
~  ,Kopnopaunr Mno    ,823, -
~  ,MAQUIS            ,823, -
~  ,Ten Forward       ,823, -
~  ,Rogue Corp        ,822, -
143,101               ,821,+21
144,Freelancer        ,821,-4
145,Cerulean Star     ,821,-29
146,(_(_Vossk_)_)     ,821, -
147,Green Dwarf       ,820,+20
148,Hipernova         ,820,-23
~  ,AHДPOMEДA         ,820, -
149,3enehar kopna     ,820, -
~  ,SonsOvAnarchy     ,820, -
~  ,星环星际朕盟            ,820, -
~  ,Browncoats PVE    ,820, -
150,FURIA 2.0         ,819, -
151,Proteus Tech      ,819,-16
152,Cerulean Nebula   ,819, -
~  ,OAKB              ,818, -
~  ,CSI               ,817, -
~  ,Galactic gods     ,817, -
~  ,Kriegsmarine      ,817, -
~  ,Shikon no tama    ,816, -
~  ,Bcenehckne 40%    ,816, -
153,GermanSpaceUno.   ,816, -
154,Eastern Front     ,815,-8
155,RELAX CZ/SK       ,815,+15
~  ,Spy Corp          ,815, -
~  ,우주미아              ,814, -
156,KARI              ,813,0
157,Killer Shadow     ,813, -
~  ,The Picard        ,812, -
~  ,Russia            ,812, -
~  ,Space Marine      ,812, -
~  ,Empire of Light   ,811, -
~  ,Lolis Corp        ,811, -
158,Scar              ,810, -
159,SpaceCowboys      ,810,+10
160,CC Parking Lot    ,810,+10
161,Hermitage         ,810,+10
162,94th Star Corps   ,810,+10
163,神圣罗马帝国            ,810,+10
164,Killer Bees.      ,809,+9
165,Milfs Hunters     ,809,+9
~  ,Starlancer        ,809, -
~  ,Stammtisch        ,809, -
166,Valhalla Rising   ,808, -
~  ,cvgngyhfghgh      ,807, -
~  ,代代守护你的神明          ,807, -
167,Death Flight      ,807, -
~  ,Game of Stars     ,806, -
~  ,Penhaxepbl        ,806, -
168,Covenant          ,805,-25
~  ,Nebulae Traders   ,805, -
169,7th Sith Empire   ,804, -
~  ,Revolver          ,803, -
170,Star Raiders      ,802,+2
171,North Star        ,802,-7
172,Behepcknn Coio3   ,802,+2
173,Czech Rebels      ,801,+2
174,Aepxaba Pycb      ,801,-32
175,AwA               ,801,+1
176,United Galaxies   ,800, -
177,第三舰队              ,800, -
178,Croce del Sud     ,800, -
179,Death Flight 1.   ,800, -
~  ,OntarioDestiny    ,800, -
~  ,AURORA            ,800, -
~  ,CDG               ,800, -
~  ,Replayland        ,800, -
~  ,Czech Wolfs       ,800, -
~  ,GhostNakcoorp     ,800, -
~  ,徳意志第三帝国阿尓法分部      ,800, -
180,AliensUA          ,800,0
~  ,Flying Dutchmen   ,800, -
181,Retarts           ,800,0
~  ,GDZ               ,799, -
182,R2D2              ,799,-1
183,Outland Ind.      ,798,-2
~  ,LANCE             ,798, -
184,New Horizons      ,797,-3
185,3hnaNT            ,797,-3
186,Sentencia         ,797, -
~  ,AH Espanoles      ,797, -
187,Fleet Corp Ares   ,796,-4
~  ,UsualSuspects     ,796, -
188,Sad Panda 2.0     ,796,-3
189,Hades Academy     ,796,-4
190,Gardiens detoil   ,796, -
~  ,Hexacropians      ,796, -
191,KINETIC           ,794,-6
192,Ark               ,794,-6
193,Crimson Dawn      ,793,-7
194,New Cydonia       ,793,-7
195,Lonely Time       ,793,-7
196,Hail Hydra        ,793,-7
197,Legion Prime      ,793,-7
198,Todesschwadron    ,793,-7
~  ,第三共产星际世界          ,792, -
~  ,Solysis           ,792, -
199,Tuatha De Danan   ,792, -
200,Tёmный Oehnkc     ,792, -
~  ,Core              ,792, -
201,Canopus           ,791, -
202,夢幻之星              ,791, -
~  ,青丘湖               ,790, -
203,Peace Keepers     ,788,-12
204,Blue Space        ,788, -
205,Hexwood           ,787,-13
206,ALPHA             ,787,-13
207,华夏舰队              ,787, -
208,Space Kats        ,786, -
209,Ninth Planet      ,785, -
210,Equinox           ,784, -
~  ,冥犬哨兵              ,783, -
211,Black Star llc.   ,782,-18
~  ,SpaceForceElite   ,780, -
212,六大天神              ,780,-20
213,Sektion 32        ,779, -
214,Hades' 420        ,779, -
215,Furyans           ,778, -
216,星环星辰之海            ,778, -
217,Inexorable        ,778, -
218,Odessa            ,777, -
~  ,Nyhhbin Oehnkc    ,777, -
219,ykpanhaNo1        ,775, -
220,Crazy Elite       ,773,-54
221,Dauntless         ,771,-23
222,Nine's Own Goal   ,762,-2
223,King's Guard      ,759, -
224,REFOUNDATION      ,755, -
225,Angel Dragon      ,749, -
