rank,corporation,rating,delta
  1,Legion            ,1686,14
  2,StarControl       ,1662,13
  3,Hinterm Mond      ,1592,6
  4,Grunthal Gang     ,1393,69
  5,DadCorp           ,1365,15
  6,OntarioDynasty    ,1314,-48
  7,Auscorp           ,1284,-50
  8,BlackStar Order   ,1270,-41
~  ,Kharon Shipping   ,1268,-57
  9,Ender             ,1266,-3
 10,System Shock      ,1259,-56
 11,Ark Summit        ,1234,22
 12,RUS               ,1229,-91
 13,Karanth Corp.     ,1223,-59
 14,Best              ,1222,-51
 15,Spacefleet        ,1218,117
 16,Stargate Corp     ,1203,122
~  ,Unimatrix Zero    ,1200,-49
 17,Imperium XIII     ,1179,11
 18,Dacia Prime       ,1166,64
~  ,DUNE              ,1160,-44
~  ,Yishun CC         ,1151,-43
 19,Anla'Shok         ,1150,-33
~  ,Spacecrevards     ,1148,-42
 20,Team Elite        ,1148,-11
 21,Orion             ,1134,46
~  ,ГОРИЗОНТ          ,1110,-38
~  ,Final             ,1108,-37
~  ,Alpaca Haven      ,1101,-37
~  ,Hades Corpo       ,1081,-34
~  ,Wintercomes       ,1077,0
~  ,Canadian Army     ,1076,0
 22,Dark Skai         ,1072,-6
 23,Internationals    ,1070,-73
 24,Terranova         ,1069,0
 25,Tacitus           ,1063,-32
~  ,The Time Lords    ,1062,-32
 26,Nearland Ind      ,1058,-31
~  ,InfamousExiles    ,1057,-31
~  ,HORNET            ,1054,0
 27,Black Solaris     ,1053,0
 28,Space Donuts      ,1041,80
 29,Sith Empire       ,1039,-77
~  ,EradicatorElite   ,1039,0
 30,Greener Pastures  ,1038,36
 31,the heavy         ,1038,44
~  ,NERF              ,1032,0
 32,GermanIndustrie   ,1029,0
~  ,Embers Rising     ,1027,0
~  ,Weyland Corp      ,1025,0
 33,pycb              ,1025,-123
 34,РОССИЯ            ,1023,-18
 35,Star Fall         ,1022,15
~  ,Widow Makers      ,1022,0
 36,The Star League   ,1020,-5
 37,Blood Brigade     ,1017,-13
~  ,ItBurnsWhenIEMP   ,1015,0
 38,The Watchers      ,1013,-1
 39,Farland Ind.      ,1000,22
~  ,Wacky Wabbits     ,1000,0
 40,Elite             ,998,26
 41,Continuum         ,996,-2
~  ,Kyлak             ,995,0
 42,Red Dawn          ,993,-9
~  ,NOVA              ,990,0
~  ,Void Consortium   ,989,0
~  ,Ancient Library   ,983,0
 43,Bounty Hunters    ,983,5
~  ,BRhue             ,980,0
~  ,Tormenta          ,978,0
 44,The Asylum        ,978,25
~  ,Famous Assassins  ,976,0
~  ,Tartaros Armada   ,973,0
~  ,Order of Hades    ,972,0
 45,Dropbears Inc.    ,969,18
~  ,Rise Up           ,968,0
~  ,Furyan Corps.     ,968,0
~  ,Salamanders       ,968,0
~  ,H3LL FLAY3RS      ,968,0
~  ,Prosperity        ,967,0
~  ,Polaris           ,966,0
~  ,Bastion           ,965,0
 46,DISS LIGA         ,965,0
~  ,Stellar Exports   ,965,0
 47,Russian Team      ,964,1
~  ,42-Omatic Corp    ,964,0
 48,Paиoн No 9        ,963,0
~  ,For Ever HWI      ,962,0
~  ,Titan Corp.       ,960,0
~  ,Red_Coat_Mafia    ,959,0
 49,UKR Spase         ,959,-7
 50,Urban Legends     ,958,0
~  ,Because Why Not   ,957,0
~  ,USSC              ,956,0
~  ,Toxic             ,955,0
~  ,TiesaFoundation   ,955,0
~  ,Grummibarenbande  ,955,0
~  ,Les Francaises    ,955,0
~  ,ANBEPCAHTbl       ,954,0
~  ,kumzumir          ,953,0
~  ,Star-Jump CORPS   ,953,0
~  ,龙门星团              ,953,0
~  ,nebulous          ,953,0
~  ,我有大氣球             ,952,0
~  ,Delta Strike      ,951,0
~  ,Saltarrocas       ,950,0
~  ,Vendetta Squad    ,949,0
~  ,Rogue Hero's      ,947,0
 51,Enigma            ,946,-3
~  ,UAGC              ,946,0
 52,$TAR$             ,946,0
~  ,The Black Bulls   ,945,0
~  ,Phoenix Rising    ,944,0
 53,Likapa            ,943,51
 54,TheSpacingGuild   ,940,-7
~  ,MAPCIOKN          ,940,0
~  ,Space Oddity      ,940,0
 55,Omega Alpha       ,939,-7
~  ,Argentina 1.0     ,939,0
~  ,Soylent Corp.     ,939,0
 56,E.T.A             ,938,-12
 57,Corporation       ,938,0
~  ,battlesquadron    ,938,0
~  ,JTPS              ,937,0
~  ,AMБPEЛЛA          ,937,0
~  ,Space Penguins    ,937,0
~  ,IX Легион         ,936,0
~  ,Sternenwanderer   ,936,0
~  ,The First Order   ,936,0
~  ,Avabel Online     ,935,0
~  ,Sternenflotte     ,935,0
~  ,The BR Project    ,935,0
~  ,M4-Legends        ,932,0
~  ,kdy               ,931,0
 58,TROLL SQUAD v2    ,931,131
~  ,ZEN               ,930,0
~  ,Topговая Федерация,930,0
 59,DTC               ,929,-15
 60,Imperial Armada   ,927,-8
~  ,Avengers          ,926,0
~  ,Galactic Empire   ,925,0
 61,Octoberpierynm    ,924,0
 62,Stalkers' Zone    ,923,0
~  ,H香港K              ,923,0
~  ,Old Men Gaming    ,922,0
~  ,Балтийский флот   ,922,0
~  ,Trade Systems     ,922,0
~  ,Titan Basecamp    ,922,0
~  ,Dansk             ,922,0
~  ,Collective        ,921,0
~  ,Elite Penguins    ,920,0
~  ,Cool Casual       ,920,0
 63,Yellow Dwarf      ,920,26
~  ,Avantgarde        ,919,0
~  ,Quilliance        ,918,0
~  ,Domus             ,917,0
~  ,Tёmный Bиxpь      ,917,0
~  ,AlSounT           ,917,0
~  ,Guardians         ,917,0
~  ,pirates spatial   ,916,0
 64,111               ,916,-17
 65,TROLL SQUAD       ,916,49
 66,Bloodtide         ,914,-3
~  ,Midland Ind.      ,914,0
~  ,Black Sun         ,914,0
 67,Star Command      ,914,0
~  ,Tnxnn Omyt        ,913,0
 68,AltCorp Inc       ,912,0
~  ,海賊ギルド             ,911,0
~  ,GalaxHitchikers   ,911,0
 69,Dacia Chill       ,911,82
~  ,Aus Alliance      ,911,0
~  ,星呢月球              ,910,0
~  ,EGO               ,910,0
~  ,CnGR              ,910,0
 70,Trade Station     ,910,0
~  ,The Goonies       ,910,0
~  ,Space bastards    ,910,0
~  ,Гaлaктикa Элa     ,910,0
~  ,Obsidian          ,910,0
~  ,Madison Holding   ,909,0
~  ,Gamekings         ,909,0
~  ,Galaxia           ,908,0
~  ,BKC               ,908,0
~  ,Black Mirror Co   ,908,0
~  ,Gulinga           ,907,0
~  ,Aggronauten       ,907,0
 71,Hellfire Club     ,907,0
~  ,OntarioDominion   ,906,0
~  ,Corp. Estelar     ,906,0
~  ,Int. Trading Co   ,906,0
 72,第一序列              ,906,44
~  ,TSI Inc.          ,905,0
 73,Galactic Otters   ,905,0
 74,Polish Pirates    ,904,0
~  ,Metal Nova        ,904,0
~  ,Steak n' Shake    ,903,0
~  ,Farmville         ,903,0
~  ,exirium           ,903,0
~  ,LOST PIRATES      ,903,0
~  ,Galactic Force    ,902,0
 75,Star Dust         ,902,0
~  ,Interstellar      ,902,0
~  ,帝国军事学院            ,902,0
~  ,Fomorians Eire    ,901,0
~  ,Gwiezdna Horda    ,901,0
~  ,AlfaOmega         ,901,0
~  ,Ritter der Nuss   ,900,0
~  ,STAR TERROR CZ    ,900,0
 76,Gummibärenbande   ,900,18
~  ,Battle Academy    ,900,0
~  ,TITANS            ,900,0
~  ,Void              ,899,0
 77,Majapahit         ,899,0
~  ,Flight and War    ,899,0
~  ,KOPNOPAUNR 3NA    ,899,0
~  ,Españoles 2       ,899,0
~  ,Hen36exhbln Poko  ,899,0
~  ,W.O.A             ,899,0
~  ,The Fracture      ,899,0
~  ,Squadron          ,899,0
 78,LossFarm No.648   ,898,0
~  ,DegobaSystem      ,898,0
 79,Duchy Arrakis     ,898,0
~  ,Kobol             ,898,0
~  ,Anarchy           ,898,0
~  ,LIETUVA           ,898,0
 80,Simply Chaos      ,897,9
~  ,NuevaFederacion   ,897,0
 81,Battlestar FR     ,897,18
~  ,Evil Empire       ,897,0
~  ,Hamburg AG 2      ,897,0
~  ,11th Engineers    ,897,0
~  ,KLM               ,897,0
~  ,Turk Yildizlari   ,896,0
~  ,Teeny's WS        ,896,0
~  ,Sky Walkers       ,896,0
~  ,Pandora's Star    ,896,0
~  ,Abanoh            ,896,0
~  ,Delta Nation      ,896,0
 82,USSR              ,896,-11
~  ,Star Gate         ,896,0
~  ,USA Corp          ,895,0
 83,HИФИГACEБ         ,895,0
~  ,bob               ,895,0
~  ,Simply Uranus     ,895,0
~  ,White Solaris     ,895,0
~  ,Panola Corp.      ,895,0
~  ,Star Wars         ,895,0
~  ,Heyaepxnmble      ,895,0
~  ,EZCO              ,895,0
~  ,aranas-vermelha   ,895,0
~  ,Acгapд            ,895,0
 84,龙门训练营             ,895,-17
~  ,VALLKIRIA         ,895,0
~  ,77=49             ,894,0
~  ,RESISTENCIA       ,894,0
