rank,corporation,rating,delta
  1,Legion            ,1673,11
  2,StarControl       ,1631,-4
  3,Hinterm Mond      ,1604,30
  4,BlackStar Order   ,1411,-10
~  ,Kharon Shipping   ,1369,-36
  5,Auscorp           ,1353,-35
  6,Best              ,1322,36
  7,DadCorp           ,1321,-35
  8,Karanth Corp.     ,1308,-32
  9,OntarioDynasty    ,1289,-31
 10,Grunthal Gang     ,1283,20
~  ,System Shock      ,1273,-30
~  ,Unimatrix Zero    ,1265,-30
 11,Ark Summit        ,1258,21
 12,RUS               ,1247,-22
 13,Ender             ,1237,-16
 14,Yishun CC         ,1226,-22
~  ,DUNE              ,1223,-27
~  ,Spacecrevards     ,1211,-26
 15,ГОРИЗОНТ          ,1176,7
 16,Imperium XIII     ,1173,37
 17,Internationals    ,1166,21
 18,pycb              ,1142,44
~  ,Final             ,1141,-22
~  ,Hades Corpo       ,1127,-21
 19,Alpaca Haven      ,1122,-36
 20,Canadian Army     ,1121,26
 21,Team Elite        ,1118,6
 22,Dark Skai         ,1113,32
 23,Tacitus           ,1112,9
~  ,The Time Lords    ,1109,-20
 24,Anla'Shok         ,1103,-41
~  ,Nearland Ind      ,1103,-19
~  ,InfamousExiles    ,1100,-19
 25,Dacia             ,1098,8
 26,Spacefleet        ,1094,11
 27,Terranova         ,1084,7
 28,Wintercomes       ,1080,-18
 29,Blood Brigade     ,1075,37
 30,Orion             ,1073,22
~  ,HORNET            ,1062,-17
~  ,Black Solaris     ,1059,-17
~  ,EradicatorElite   ,1058,-16
 31,Continuum         ,1051,25
~  ,NERF              ,1046,-16
 32,Stargate Corp     ,1045,-19
 33,Sith Empire       ,1043,-108
~  ,Embers Rising     ,1040,-15
~  ,Weyland Corp      ,1032,-15
 34,Widow Makers      ,1031,-15
~  ,ItBurnsWhenIEMP   ,1029,-15
 35,The Watchers      ,1029,-15
~  ,GermanIndustrie   ,1027,-15
~  ,Star Fall         ,1018,-14
~  ,Greener Pastures  ,1016,-14
~  ,Wacky Wabbits     ,1014,-14
 36,Red Dawn          ,1012,-14
~  ,Kyлak             ,1011,-13
 37,РОССИЯ            ,1006,-1
 38,Austria           ,1005,7
 39,Bounty Hunters    ,1004,-13
 40,The Star League   ,1001,-2
~  ,NOVA              ,998,-13
~  ,Void Consortium   ,995,-12
~  ,Ancient Library   ,993,-12
~  ,BRhue             ,992,-12
 41,Space Donuts      ,990,8
~  ,Tormenta          ,990,-12
 42,Farland Ind.      ,987,57
 43,DTC               ,987,7
~  ,Famous Assassins  ,986,-12
 44,Tartaros Armada   ,982,-12
~  ,Order of Hades    ,982,-12
~  ,Elite             ,982,-12
~  ,Polaris           ,981,-7
~  ,Rise Up           ,981,-12
~  ,Furyan Corps.     ,980,-11
~  ,Salamanders       ,979,-11
~  ,H3LL FLAY3RS      ,978,-11
~  ,Prosperity        ,978,-11
~  ,UKR Spase         ,978,-11
 45,Space Oddity      ,977,19
~  ,Bastion           ,976,-11
~  ,Stellar Exports   ,974,-11
~  ,Urban Legends     ,973,-11
~  ,For Ever HWI      ,972,-11
~  ,Titan Corp.       ,970,-11
~  ,Red_Coat_Mafia    ,970,-11
 46,TheSpacingGuild   ,969,2
~  ,Because Why Not   ,968,-11
~  ,USSC              ,968,-11
~  ,Toxic             ,968,-11
~  ,TiesaFoundation   ,968,-11
~  ,Russian Team      ,967,-11
~  ,ANBEPCAHTbl       ,967,-9
~  ,Grummibarenbande  ,967,-11
~  ,Les Francaises    ,966,-11
~  ,nebulous          ,966,-11
~  ,DISS LIGA         ,966,-11
~  ,kumzumir          ,966,-11
~  ,USSR              ,966,-11
~  ,Star-Jump CORPS   ,965,-11
~  ,龙门星团              ,963,-10
~  ,我有大氣球             ,963,-10
~  ,42-Omatic Corp    ,963,-21
~  ,Delta Strike      ,962,-10
 47,$TAR$             ,961,-10
~  ,pirates spatial   ,959,26
~  ,E.T.A             ,959,-10
~  ,Saltarrocas       ,958,-10
~  ,Vendetta Squad    ,958,-10
~  ,Rogue Hero's      ,957,-10
~  ,Omega Alpha       ,956,-10
~  ,UAGC              ,952,-10
~  ,The Black Bulls   ,952,-10
~  ,Phoenix Rising    ,950,-10
~  ,MAPCIOKN          ,950,-10
~  ,Argentina 1.0     ,949,-10
 48,Sternenflotte     ,949,-4
~  ,Soylent Corp.     ,948,-9
~  ,battlesquadron    ,948,-9
~  ,JTPS              ,948,-9
~  ,AMБPEЛЛA          ,947,-9
~  ,Space Penguins    ,947,-9
~  ,Imperial Armada   ,946,-9
~  ,Sternenwanderer   ,946,-9
~  ,The First Order   ,946,-9
~  ,Avabel Online     ,946,-9
~  ,The BR Project    ,943,-9
~  ,Dropbears Inc.    ,943,-9
 49,Galactic Otters   ,942,20
 50,the heavy         ,941,-7
~  ,kdy               ,941,-9
~  ,Paиoн No 9        ,941,-9
~  ,ZEN               ,940,-9
 51,Galactic Empire   ,940,-5
~  ,Topговая Федерация,938,-9
~  ,Avengers          ,937,-9
 52,Octoberpierynm    ,935,-9
~  ,Corporation       ,935,-19
~  ,H香港K              ,933,-9
~  ,Балтийский флот   ,931,-8
~  ,Trade Systems     ,931,-8
~  ,Titan Basecamp    ,931,-8
~  ,Dansk             ,931,-8
~  ,Collective        ,931,-8
~  ,Elite Penguins    ,931,-8
~  ,Cool Casual       ,930,-8
~  ,Old Men Gaming    ,929,-12
~  ,Hellfire Club     ,929,-8
~  ,Avantgarde        ,929,-8
 53,Valhalla Rising   ,928,128
~  ,Simply Chaos      ,927,37
~  ,Quilliance        ,927,-8
~  ,Domus             ,927,-8
~  ,AlSounT           ,926,-8
~  ,Guardians         ,926,-8
~  ,Tёmный Bиxpь      ,923,-12
~  ,Midland Ind.      ,923,-8
~  ,Black Sun         ,923,-8
 54,Tnxnn Omyt        ,923,-8
~  ,Lights Off        ,921,34
~  ,GalaxHitchikers   ,921,-8
~  ,Aus Alliance      ,920,-8
~  ,星呢月球              ,919,-8
~  ,Гaлaктикa Элa     ,919,-7
 55,The Asylum        ,919,-27
~  ,CnGR              ,919,-8
~  ,The Goonies       ,919,-8
~  ,Space bastards    ,919,-8
~  ,Obsidian          ,918,-8
 56,Gwiezdna Horda    ,918,7
 57,M4-Legends        ,918,-34
~  ,Star Command      ,917,-7
~  ,Gamekings         ,917,-7
~  ,Galaxia           ,917,-7
~  ,Star Dust         ,917,-7
 58,龙门训练营             ,917,-32
~  ,BKC               ,916,-7
~  ,龙冂训练营             ,916,-7
~  ,Black Mirror Co   ,916,-7
 59,Gulinga           ,915,-7
~  ,Aggronauten       ,915,-7
~  ,OntarioDominion   ,915,-7
~  ,Int. Trading Co   ,914,-7
 60,Trade Station     ,914,-16
~  ,TSI Inc.          ,913,-7
 61,Madison Holding   ,912,-14
 62,Metal Nova        ,912,0
~  ,HИФИГACEБ         ,911,-7
~  ,Delta Nation      ,911,-7
~  ,Interstellar      ,911,-7
~  ,Farmville         ,911,-7
 63,Lexx              ,911,-11
~  ,exirium           ,910,-7
~  ,LOST PIRATES      ,910,-7
~  ,Galactic Force    ,909,-7
~  ,帝国军事学院            ,909,-7
~  ,Fomorians Eire    ,909,-7
~  ,White Solaris     ,909,-11
~  ,Star Wars         ,908,-7
~  ,EZCO              ,908,-7
~  ,VALLKIRIA         ,907,-7
~  ,77=49             ,906,-7
~  ,DarkMoon          ,906,-7
 64,Deadspace         ,906,-7
~  ,Steak n' Shake    ,905,-7
~  ,海賊ギルド             ,905,-7
~  ,AlfaOmega         ,905,-7
~  ,Society of Sin    ,904,-7
~  ,Españoles         ,904,-7
~  ,Ritter der Nuss   ,904,-7
~  ,STAR TERROR CZ    ,904,-7
~  ,Corp. Estelar     ,904,-7
~  ,Majapahit         ,904,-7
~  ,XenoCorp          ,903,0
~  ,LossFarm No.648   ,903,-7
~  ,DegobaSystem      ,903,-7
