rank,corporation,rating,delta
  1,Legion            ,1672,-1
  2,StarControl       ,1649,18
  3,Hinterm Mond      ,1586,-18
  4,OntarioDynasty    ,1363,54
  5,DadCorp           ,1350,21
  6,Auscorp           ,1334,-19
~  ,Kharon Shipping   ,1326,-43
  7,Grunthal Gang     ,1324,66
  8,RUS               ,1320,55
~  ,System Shock      ,1315,26
  9,BlackStar Order   ,1311,-100
 10,Karanth Corp.     ,1282,-39
 11,Best              ,1273,0
 12,Ender             ,1269,23
~  ,Unimatrix Zero    ,1249,-37
 13,Ark Summit        ,1211,1
~  ,DUNE              ,1204,-33
 14,Yishun CC         ,1194,-32
~  ,Spacecrevards     ,1191,-32
 15,Anla'Shok         ,1182,61
 16,Imperium XIII     ,1169,47
 17,Team Elite        ,1159,51
 18,ГОРИЗОНТ          ,1148,-28
 19,pycb              ,1147,45
~  ,Final             ,1145,-28
 20,Internationals    ,1143,17
 21,Alpaca Haven      ,1138,-28
 22,Sith Empire       ,1117,-26
~  ,Hades Corpo       ,1116,-26
 23,Dacia Prime       ,1102,8
 24,Spacefleet        ,1101,17
 25,Tacitus           ,1095,-8
~  ,The Time Lords    ,1094,-24
~  ,Nearland Ind      ,1089,-24
~  ,InfamousExiles    ,1088,-24
 26,Orion             ,1088,43
 27,Stargate Corp     ,1081,23
 28,Dark Skai         ,1078,-2
~  ,Wintercomes       ,1077,-23
 29,Canadian Army     ,1076,-23
 30,Terranova         ,1069,-4
~  ,HORNET            ,1054,-21
~  ,Black Solaris     ,1053,-9
 31,РОССИЯ            ,1041,40
~  ,EradicatorElite   ,1039,-20
~  ,NERF              ,1032,-19
 32,Blood Brigade     ,1031,2
~  ,GermanIndustrie   ,1029,0
~  ,Embers Rising     ,1027,-19
 33,The Star League   ,1025,32
~  ,Weyland Corp      ,1025,-18
~  ,Widow Makers      ,1022,-18
~  ,ItBurnsWhenIEMP   ,1015,-18
 34,The Watchers      ,1013,-17
 35,Star Fall         ,1007,-20
~  ,Greener Pastures  ,1002,-17
 36,Red Dawn          ,1001,-11
~  ,Wacky Wabbits     ,1000,-16
 37,Continuum         ,998,-16
~  ,Kyлak             ,995,-16
 38,the heavy         ,994,53
~  ,NOVA              ,990,-16
~  ,Void Consortium   ,989,-15
~  ,Ancient Library   ,983,-15
~  ,BRhue             ,980,-15
~  ,Tormenta          ,978,-15
 39,Bounty Hunters    ,978,-28
 40,Farland Ind.      ,977,54
~  ,Famous Assassins  ,976,-14
 41,Tartaros Armada   ,973,-14
~  ,Elite             ,972,-14
~  ,Order of Hades    ,972,-14
~  ,Rise Up           ,968,-14
~  ,Furyan Corps.     ,968,-14
~  ,Salamanders       ,968,-14
~  ,H3LL FLAY3RS      ,968,-14
~  ,Prosperity        ,967,-14
~  ,UKR Spase         ,967,-14
~  ,Polaris           ,966,-14
 42,Austria           ,965,-25
~  ,Bastion           ,965,-13
~  ,DISS LIGA         ,965,-2
~  ,Stellar Exports   ,965,-13
~  ,42-Omatic Corp    ,964,-13
~  ,Russian Team      ,963,-5
~  ,Paиoн No 9        ,963,22
~  ,For Ever HWI      ,962,-13
 43,Space Donuts      ,961,-13
~  ,Titan Corp.       ,960,-13
~  ,Red_Coat_Mafia    ,959,-13
~  ,Urban Legends     ,958,-19
~  ,Because Why Not   ,957,-13
~  ,USSC              ,956,-13
~  ,Toxic             ,955,-13
~  ,TiesaFoundation   ,955,-13
~  ,Grummibarenbande  ,955,-13
~  ,Les Francaises    ,955,-13
~  ,ANBEPCAHTbl       ,954,-13
~  ,kumzumir          ,953,-13
~  ,Star-Jump CORPS   ,953,-13
~  ,龙门星团              ,953,-13
~  ,nebulous          ,953,-15
 44,The Asylum        ,953,14
~  ,我有大氣球             ,952,-12
 45,Dropbears Inc.    ,951,9
~  ,Delta Strike      ,951,-12
~  ,E.T.A             ,950,-12
~  ,Saltarrocas       ,950,-12
 46,Enigma            ,949,38
~  ,Vendetta Squad    ,949,-12
 47,TheSpacingGuild   ,947,-12
~  ,Rogue Hero's      ,947,-12
~  ,Omega Alpha       ,946,-12
~  ,UAGC              ,946,-12
~  ,$TAR$             ,946,-18
~  ,The Black Bulls   ,945,-12
 48,DTC               ,944,-25
~  ,Phoenix Rising    ,944,-12
~  ,MAPCIOKN          ,940,-11
~  ,Space Oddity      ,940,-11
~  ,Argentina 1.0     ,939,-11
~  ,Soylent Corp.     ,939,-11
 49,Corporation       ,938,-8
~  ,battlesquadron    ,938,-11
~  ,JTPS              ,937,-11
~  ,AMБPEЛЛA          ,937,-11
~  ,Space Penguins    ,937,-11
~  ,IX Легион         ,936,66
~  ,Sternenwanderer   ,936,-11
~  ,The First Order   ,936,-11
~  ,Imperial Armada   ,936,-12
~  ,Avabel Online     ,935,-11
~  ,Sternenflotte     ,935,-11
~  ,The BR Project    ,935,-11
 50,111               ,933,93
 51,M4-Legends        ,932,-11
~  ,kdy               ,931,-11
~  ,ZEN               ,930,-11
~  ,Topговая Федерация,930,-11
~  ,Avengers          ,926,-10
 52,Galactic Empire   ,925,-10
~  ,Octoberpierynm    ,924,-10
~  ,Stalkers' Zone    ,923,23
~  ,H香港K              ,923,-10
~  ,Old Men Gaming    ,922,-10
~  ,Балтийский флот   ,922,-10
~  ,Trade Systems     ,922,-10
~  ,Titan Basecamp    ,922,-10
~  ,Dansk             ,922,-10
~  ,Collective        ,921,-10
~  ,Elite Penguins    ,920,-10
~  ,Cool Casual       ,920,-10
~  ,Avantgarde        ,919,-10
~  ,Quilliance        ,918,-10
 53,Bloodtide         ,917,36
~  ,Domus             ,917,-10
~  ,Tёmный Bиxpь      ,917,-10
~  ,AlSounT           ,917,-10
~  ,Guardians         ,917,-10
~  ,pirates spatial   ,916,-10
~  ,Midland Ind.      ,914,-9
~  ,Black Sun         ,914,-9
~  ,Star Command      ,914,-4
 54,Tnxnn Omyt        ,913,-9
 55,AltCorp Inc       ,912,14
 56,龙门训练营             ,912,-29
~  ,海賊ギルド             ,911,5
~  ,GalaxHitchikers   ,911,-9
~  ,Aus Alliance      ,911,-9
~  ,星呢月球              ,910,-9
~  ,EGO               ,910,-2
~  ,CnGR              ,910,-9
 57,Trade Station     ,910,-11
~  ,The Goonies       ,910,-9
~  ,Space bastards    ,910,-9
~  ,Гaлaктикa Элa     ,910,-9
~  ,Obsidian          ,910,-9
 58,Madison Holding   ,909,-9
~  ,Gamekings         ,909,-9
~  ,Galaxia           ,908,-9
~  ,BKC               ,908,-9
~  ,Black Mirror Co   ,908,-9
 59,Gulinga           ,907,-9
~  ,Aggronauten       ,907,-9
 60,Hellfire Club     ,907,-23
 61,USSR              ,907,-59
~  ,OntarioDominion   ,906,-9
~  ,Corp. Estelar     ,906,3
~  ,Int. Trading Co   ,906,-9
~  ,TSI Inc.          ,905,-9
 62,Galactic Otters   ,905,-11
 63,Polish Pirates    ,904,38
 64,Metal Nova        ,904,-3
~  ,Steak n' Shake    ,903,-3
~  ,Farmville         ,903,-8
~  ,exirium           ,903,-8
~  ,Ironbear Legion   ,903,3
~  ,LOST PIRATES      ,903,-8
~  ,Galactic Force    ,902,-8
 65,Star Dust         ,902,-15
~  ,Interstellar      ,902,-10
~  ,帝国军事学院            ,902,-8
~  ,Fomorians Eire    ,901,-8
 66,Gwiezdna Horda    ,901,-5
~  ,AlfaOmega         ,901,-4
~  ,Society of Sin    ,901,-4
~  ,Ritter der Nuss   ,900,-4
~  ,STAR TERROR CZ    ,900,-4
~  ,Battle Academy    ,900,0
~  ,TITANS            ,900,0
 67,Void              ,899,0
~  ,Majapahit         ,899,-5
~  ,Flight and War    ,899,0
~  ,KOPNOPAUNR 3NA    ,899,0
~  ,Españoles 2       ,899,0
~  ,Hen36exhbln Poko  ,899,0
 68,Dreckiger Rest    ,899,0
~  ,W.O.A             ,899,0
~  ,The Fracture      ,899,0
~  ,Squadron          ,899,0
~  ,LossFarm No.648   ,898,-5
~  ,DegobaSystem      ,898,-5
 69,Duchy Arrakis     ,898,58
~  ,Kobol             ,898,-5
~  ,Anarchy           ,898,0
~  ,LIETUVA           ,898,0
~  ,NuevaFederacion   ,897,0
~  ,Evil Empire       ,897,0
~  ,Hamburg AG 2      ,897,-6
~  ,11th Engineers    ,897,0
~  ,KLM               ,897,-6
~  ,Turk Yildizlari   ,896,0
~  ,Teeny's WS        ,896,0
~  ,Sky Walkers       ,896,-6
~  ,Pandora's Star    ,896,-6
~  ,Abanoh            ,896,0
 70,Rising star       ,896,0
~  ,Delta Nation      ,896,-17
~  ,Star Gate         ,896,0
~  ,USA Corp          ,895,0
~  ,HИФИГACEБ         ,895,-17
~  ,bob               ,895,0
~  ,Simply Uranus     ,895,0
~  ,White Solaris     ,895,-15
~  ,Romania           ,895,-3
~  ,Panola Corp.      ,895,0
~  ,Star Wars         ,895,-14
~  ,Heyaepxnmble      ,895,0
~  ,EZCO              ,895,-14
~  ,aranas-vermelha   ,895,0
~  ,Acгapд            ,895,0
~  ,VALLKIRIA         ,895,-14
~  ,77=49             ,894,-14
