rank,corporation,rating,delta
  1,Legion            ,1644,8
  2,StarControl       ,1625,31
  3,Hinterm Mond      ,1586,1
  4,BlackStar Order   ,1494,-12
  5,Kharon Shipping   ,1468,-28
  6,Auscorp           ,1457,-8
~  ,System Shock      ,1388,-24
  7,DadCorp           ,1381,0
  8,Karanth           ,1359,-23
~  ,Unimatrix Zero    ,1311,-20
  9,Spacecrevards     ,1309,-20
 10,Ender             ,1268,2
~  ,DUNE              ,1268,-18
~  ,Yishun CC         ,1267,-18
 11,OntarioDynasty    ,1267,-13
 12,Grunthal Gang     ,1262,87
~  ,RUS               ,1250,-17
 13,Ark Summit        ,1231,-16
~  ,ГОРИЗОНТ          ,1205,-15
 14,Final             ,1204,-15
~  ,Hades Corpo       ,1202,-15
 15,Anla'Shok         ,1186,-19
 16,The Time Lords    ,1179,-14
 17,Nearland Ind      ,1179,-14
 18,Team Elite        ,1176,-2
 19,Sith Empire       ,1171,11
~  ,InfamousExiles    ,1167,-13
 20,Imperium XIII     ,1145,-12
 21,Embers Rising     ,1137,-30
 22,Best              ,1133,206
 23,Spacefleet        ,1125,3
~  ,Watchers          ,1120,-11
 24,HORNET            ,1119,-11
~  ,Black Solaris     ,1115,-11
~  ,EradicatorElite   ,1115,-15
 25,Dark Skai         ,1111,-1
 26,Tacitus           ,1103,-10
~  ,NERF              ,1099,-10
 27,Wintercomes       ,1088,-9
~  ,Canadian Army     ,1087,-9
 28,GermanIndustrie   ,1076,38
~  ,EMP               ,1069,-8
 29,DTC               ,1065,-16
~  ,Greener Pastures  ,1061,-8
 30,Orion             ,1059,28
~  ,Kyлak             ,1055,-8
 31,Terranova         ,1053,20
 32,Star Fall         ,1050,-7
 33,Blood Brigade     ,1048,-26
 34,Lexx              ,1047,-13
 35,Bounty Hunters    ,1042,52
 36,Weyland Corp      ,1039,-7
 37,Void Consortium   ,1034,-7
~  ,NOVA              ,1031,-7
~  ,BRhue             ,1031,-6
 38,Metal Nova        ,1023,-43
 39,Tormenta          ,1022,8
~  ,Wacky Wabbits     ,1021,-6
~  ,Order of Hades    ,1018,-6
~  ,Rise Up           ,1017,-6
~  ,Famous Assassins  ,1017,-6
 40,$TAR$             ,1013,-6
 41,Bastion           ,1010,-5
