rank,corporation,rating,delta
  1,StarControl       ,1646,21
  2,Legion            ,1644,0
  3,Hinterm Mond      ,1579,-7
  4,BlackStar Order   ,1467,-26
  5,Auscorp           ,1451,-6
  6,Kharon Shipping   ,1438,-30
  7,DadCorp           ,1395,13
~  ,System Shock      ,1362,-26
  8,Karanth Corp.     ,1359,0
  9,OntarioDynasty    ,1297,30
~  ,Unimatrix Zero    ,1290,-22
~  ,Spacecrevards     ,1287,-22
 10,Ender             ,1268,0
~  ,DUNE              ,1268,0
~  ,RUS               ,1250,0
~  ,Yishun CC         ,1248,-19
 11,Grunthal Gang     ,1233,-29
 12,Ark Summit        ,1213,-17
~  ,Final             ,1204,0
 13,Best              ,1195,62
~  ,ГОРИЗОНТ          ,1189,-16
~  ,Hades Corpo       ,1186,-16
 14,Sith Empire       ,1182,11
 15,Anla'Shok         ,1181,-5
 16,The Time Lords    ,1164,-15
 17,Nearland Ind      ,1157,-22
~  ,InfamousExiles    ,1153,-14
 18,Team Elite        ,1146,-30
 19,Imperium XIII     ,1143,-2
 20,Spacefleet        ,1131,6
~  ,Tacitus           ,1123,19
~  ,The Watchers      ,1120,0
 21,Dark Skai         ,1111,0
~  ,HORNET            ,1108,-12
 22,Wintercomes       ,1106,18
~  ,Black Solaris     ,1104,-11
~  ,EradicatorElite   ,1104,-11
~  ,NERF              ,1089,-11
~  ,Canadian Army     ,1087,0
 23,Embers Rising     ,1082,-55
 24,Orion             ,1081,22
~  ,ItBurnsWhenIEMP   ,1069,0
 25,GermanIndustrie   ,1066,-9
 26,Terranova         ,1058,5
~  ,Greener Pastures  ,1053,-9
 27,Wacky Wabbits     ,1051,29
~  ,Kyлak             ,1047,-8
 28,Star Fall         ,1042,-8
 29,Blood Brigade     ,1040,-8
~  ,Weyland Corp      ,1039,0
 30,Bounty Hunters    ,1033,-9
 31,РОССИЯ            ,1032,51
~  ,NOVA              ,1031,0
 32,Metal Nova        ,1029,6
~  ,Void Consortium   ,1027,-7
~  ,BRhue             ,1024,-7
 33,Red Dawn          ,1023,19
 34,Tormenta          ,1022,0
 35,DTC               ,1019,-46
~  ,Famous Assassins  ,1017,0
~  ,Order of Hades    ,1012,-6
~  ,Rise Up           ,1011,-6
 36,Stargate Corp     ,1009,0
~  ,Furyan Corps.     ,1009,0
~  ,Salamanders       ,1009,0
 37,Continuum         ,1008,0
 38,H3LL FLAY3RS      ,1007,0
~  ,Prosperity        ,1007,19
 39,UKR Spase         ,1007,0
~  ,Widow Makers      ,1007,0
~  ,Polaris           ,1006,0
 40,Internationals    ,1005,0
~  ,Bastion           ,1004,-6
~  ,Stellar Exports   ,1002,0
 41,$TAR$             ,1002,-11
~  ,Urban Legends     ,1001,0
~  ,Ancient Library   ,1000,0
~  ,42-Omatic Corp    ,1000,0
~  ,For Ever HWI      ,1000,0
~  ,Titan Corp.       ,997,0
 42,Red_Coat_Mafia    ,997,0
~  ,Because Why Not   ,995,0
~  ,USSC              ,995,0
~  ,Toxic             ,995,0
~  ,TiesaFoundation   ,995,0
~  ,Russian Team      ,994,0
~  ,nebulous          ,994,0
~  ,Grummibarenbande  ,994,0
~  ,Les Francaises    ,993,0
~  ,DISS LIGA         ,993,0
~  ,ANBEPCAHTbl       ,993,0
~  ,kumzumir          ,992,0
